accession,species,strain,assembly_level,n_protein,dltA,dltE,dltE_len,dltE_score,dltE_s90,dltE_s110,dltE_s130,mprF_long,mprF_short,localization
GCF_965136345.1,Lactobacillus acidophilus,CIP103601,Scaffold,1811,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025495965.1,Lactobacillus acidophilus,CUL21B,Contig,1828,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_017009515.1,Lactobacillus acidophilus,BCRC 14065,Contig,1790,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_050573395.1,Lactobacillus acidophilus,WGS-8,Scaffold,1783,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_017009595.1,Lactobacillus acidophilus,BCRC 17008,Contig,1786,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_033598375.1,Lactobacillus acidophilus,NSL,Scaffold,1797,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_027672145.1,Lactobacillus acidophilus,AM18-13,Scaffold,1794,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_003053135.1,Lactobacillus acidophilus,DS24_1,Contig,1795,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_040925285.1,Lactobacillus acidophilus,RTP21277st1_B3_RTP21277_210401,Scaffold,1789,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_037996565.1,Lactobacillus acidophilus,ATA-LAP1201,Scaffold,1831,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_036347815.1,Lactobacillus acidophilus,MCC 0241,Contig,1786,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_046940125.1,Lactobacillus acidophilus,SBS-CC-2136,Scaffold,1748,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_003061965.1,Lactobacillus acidophilus,DS13_1A,Contig,1791,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_037996485.1,Lactobacillus acidophilus,ATA-LTC-La060301,Scaffold,1854,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_017009655.1,Lactobacillus acidophilus,BCRC 17481,Contig,1801,1,1,313,125.3,1,1,0,0,1,C_CYTO
GCF_003062045.1,Lactobacillus acidophilus,DS1_1A,Contig,1799,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_002406675.1,Lactobacillus acidophilus,P2,Contig,1917,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_027672405.1,Lactobacillus acidophilus,AM13-1,Scaffold,1781,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_040785195.1,Lactobacillus acidophilus,gbc_A,Scaffold,1791,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_003061905.1,Lactobacillus acidophilus,DS13_1B,Contig,1790,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_017009695.1,Lactobacillus acidophilus,BCRC 80064,Contig,1786,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_003062025.1,Lactobacillus acidophilus,DS11_1A,Contig,1796,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_003061985.1,Lactobacillus acidophilus,DS5_1A,Contig,1791,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_009741835.1,Lactobacillus acidophilus,LA_AVK2,Contig,1738,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_017009485.1,Lactobacillus acidophilus,BCRC 12255,Contig,1791,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_036350535.1,Lactobacillus acidophilus,MCC 0257,Contig,1787,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_013867605.1,Lactobacillus acidophilus,s-13,Contig,1786,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_017009575.1,Lactobacillus acidophilus,BCRC 16092,Contig,1752,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_003061925.1,Lactobacillus acidophilus,DS9_1A,Contig,1794,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_017695935.1,Lactobacillus acidophilus,APC2845,Contig,1792,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_009742735.1,Lactobacillus acidophilus,LA_AVK1,Contig,1741,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_003061885.1,Lactobacillus acidophilus,DS20_1,Contig,1794,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025194665.1,Lactobacillus acidophilus,CIRM-BIA 437,Contig,1781,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_017009475.1,Lactobacillus acidophilus,BCRC 14079,Contig,1774,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_008868625.1,Lactobacillus acidophilus,BIO6307,Contig,1795,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_022509485.1,Lactobacillus acidophilus,QAULAN51,Scaffold,1754,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025194825.1,Lactobacillus acidophilus,CIRM-BIA 442,Contig,1780,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_013867555.1,Lactobacillus acidophilus,s-4,Scaffold,1755,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025194805.1,Lactobacillus acidophilus,CIRM-BIA 443,Contig,1810,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_003053245.1,Lactobacillus acidophilus,DS10_1A,Contig,1795,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025194925.1,Lactobacillus acidophilus,CIRM-BIA 445,Contig,1795,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_003641085.1,Lactobacillus acidophilus,UBLA-34,Contig,1773,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025194705.1,Lactobacillus acidophilus,CIRM-BIA 903,Contig,1794,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_023093425.1,Lactobacillus acidophilus,PB2021-BA04,Contig,1766,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_051388835.1,Lactobacillus acidophilus,CCFM137,Contig,1754,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_003061945.1,Lactobacillus acidophilus,DS8_1A,Contig,1792,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_021229035.1,Lactobacillus acidophilus,NBIMCC 8242 (180),Scaffold,1783,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025194725.1,Lactobacillus acidophilus,CIRM-BIA 904,Contig,1756,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_040883405.1,Lactobacillus acidophilus,AM-LA-19,Contig,1772,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025194685.1,Lactobacillus acidophilus,CIRM-BIA 1674,Contig,1761,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_051388555.1,Lactobacillus acidophilus,JCM-1132,Contig,1751,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025194905.1,Lactobacillus acidophilus,CIRM-BIA 448,Contig,1781,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_017009585.1,Lactobacillus acidophilus,BCRC 17486,Contig,1762,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025194875.1,Lactobacillus acidophilus,CIRM-BIA 446,Contig,1792,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_027690645.1,Lactobacillus acidophilus,TF07-26,Scaffold,1783,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_027659195.1,Lactobacillus acidophilus,AM104-61,Scaffold,1789,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_027660185.1,Lactobacillus acidophilus,AM102-109,Scaffold,1783,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_027659185.1,Lactobacillus acidophilus,AM104-58,Scaffold,1786,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_051388695.1,Lactobacillus acidophilus,CCFM-720,Contig,1764,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_027660125.1,Lactobacillus acidophilus,AM102-112,Scaffold,1785,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025194645.1,Lactobacillus acidophilus,CIRM-BIA 444,Contig,2048,1,1,313,128.9,1,1,0,0,1,C_CYTO
GCF_027687975.1,Lactobacillus acidophilus,AF05-37B,Scaffold,1785,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_027659735.1,Lactobacillus acidophilus,AM102-83,Scaffold,1786,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_902386525.1,Lactobacillus acidophilus,-,Scaffold,1799,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_058732045.1,Lactobacillus acidophilus,PM-A0002,Contig,1983,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_001950045.1,Lactobacillus acidophilus,L-55,Scaffold,1799,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025194775.1,Lactobacillus acidophilus,CIRM-BIA 2087,Contig,1802,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_027662945.1,Lactobacillus acidophilus,AM04S-70,Scaffold,1794,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_018252545.1,Lactobacillus acidophilus,LA-G80,Contig,1793,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025194745.1,Lactobacillus acidophilus,CIRM-BIA 902,Contig,1792,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_051388435.1,Lactobacillus acidophilus,FFJND7L5,Contig,1837,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025194765.1,Lactobacillus acidophilus,CIRM-BIA 441,Contig,1806,1,1,313,125.3,1,1,0,0,1,C_CYTO
GCF_027692675.1,Lactobacillus acidophilus,OF38-15pH5,Scaffold,1788,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_027660295.1,Lactobacillus acidophilus,AM102-77,Scaffold,1785,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025194845.1,Lactobacillus acidophilus,CIRM-BIA 447,Contig,2048,1,1,313,128.9,1,1,0,0,1,C_CYTO
GCF_051388395.1,Lactobacillus acidophilus,FFJND6L5,Contig,1793,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_051388755.1,Lactobacillus acidophilus,FAHWH11L56,Contig,1792,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_027680805.1,Lactobacillus acidophilus,AF75-02b14,Scaffold,1786,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_027690935.1,Lactobacillus acidophilus,TF04-11-1,Scaffold,1783,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_040925255.1,Lactobacillus acidophilus,RTP21277st1_G1_RTP21277_210401,Scaffold,1783,1,1,313,124.3,1,1,0,0,0,C_CYTO
GCF_051388795.1,Lactobacillus acidophilus,FNMGHHHT12L40,Contig,1798,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_003062005.1,Lactobacillus acidophilus,DS2_1A,Contig,1830,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_000442865.1,Lactobacillus acidophilus CIRM-BIA 442,CIRM-BIA 442,Contig,1782,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_051388655.1,Lactobacillus acidophilus,FCQHC4LH1,Contig,1793,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_027689875.1,Lactobacillus acidophilus,TM02-12,Scaffold,1783,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_025194865.1,Lactobacillus acidophilus,CIRM-BIA 439,Contig,2015,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_000159715.1,Lactobacillus acidophilus ATCC 4796,ATCC 4796,Scaffold,1774,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_001639165.1,Lactobacillus acidophilus,WG-LB-IV,Contig,1792,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_000469765.1,Lactobacillus acidophilus CIRM-BIA 445,CIRM-BIA 445,Scaffold,1796,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_027660145.1,Lactobacillus acidophilus,AM102-110,Scaffold,1785,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_020042125.1,Lactobacillus crispatus,Lc1226,Complete Genome,2287,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_051388635.1,Lactobacillus acidophilus,FXJSW24L139,Contig,1970,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_018987235.1,Lactobacillus crispatus,ATCC 33820,Complete Genome,1900,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_027684755.1,Lactobacillus acidophilus,AF16-5LB,Scaffold,1780,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_060175805.1,Lactobacillus crispatus,PID162_5a,Complete Genome,2263,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_000469745.1,Lactobacillus acidophilus DSM 9126,DSM 9126,Scaffold,1809,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_060176015.1,Lactobacillus crispatus,PID162_2a,Complete Genome,2263,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_000442825.1,Lactobacillus acidophilus DSM 20242,DSM 20242,Contig,1815,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_029011495.1,Lactobacillus crispatus,VSI21,Complete Genome,2247,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_009769205.1,Lactobacillus crispatus,DC21.1,Complete Genome,1875,1,1,313,130.4,1,1,1,0,1,C_CYTO
GCF_060176055.1,Lactobacillus crispatus,PID173_5a,Complete Genome,2218,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_000497795.1,Lactobacillus acidophilus CFH,CFH,Contig,1819,1,1,313,124.3,1,1,0,0,1,C_CYTO
GCF_055449755.1,Lactobacillus crispatus,C0428A2,Complete Genome,2201,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_060175895.1,Lactobacillus crispatus,PID41D4,Complete Genome,2302,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_060176275.1,Lactobacillus crispatus,PID182_3a,Complete Genome,2158,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_060176145.1,Lactobacillus crispatus,PID173_1a,Complete Genome,2295,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_057626535.1,Lactobacillus crispatus,CCUG 44500,Complete Genome,2069,1,1,313,130.4,1,1,1,0,1,C_CYTO
GCF_027271175.1,Lactobacillus crispatus,Lcr-MH175,Complete Genome,2256,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_048541565.1,Lactobacillus crispatus,M247_Siena,Complete Genome,2011,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_060176215.1,Lactobacillus crispatus,PID153_1a,Complete Genome,2239,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_003971565.1,Lactobacillus crispatus,AB70,Complete Genome,2152,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_029011595.1,Lactobacillus crispatus,VSI17,Complete Genome,2092,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_059982895.1,Lactobacillus crispatus,KCTC16068BP,Complete Genome,2163,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_060176095.1,Lactobacillus crispatus,PID32_D1,Complete Genome,2201,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_029011765.1,Lactobacillus crispatus,VSI08,Complete Genome,2063,1,1,313,126.5,1,1,0,0,1,C_CYTO
GCF_060175975.1,Lactobacillus crispatus,PID40_D9,Complete Genome,2196,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_003795065.1,Lactobacillus crispatus,CO3MRSI1,Complete Genome,2000,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_016767795.1,Lactobacillus crispatus,PRL2021,Complete Genome,2032,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_029011155.1,Lactobacillus crispatus,VSI04,Complete Genome,1994,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_020887095.1,Lactobacillus crispatus,KT-11,Complete Genome,2151,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_009730275.1,Lactobacillus crispatus,FDAARGOS_743,Complete Genome,2060,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_050916105.1,Lactobacillus crispatus,Mu5,Complete Genome,2022,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_029011475.1,Lactobacillus crispatus,VSI24,Complete Genome,1988,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_020042225.1,Lactobacillus crispatus,Lc116,Complete Genome,2183,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_013487905.1,Lactobacillus crispatus,1D,Complete Genome,2210,1,1,313,127.2,1,1,0,0,1,C_CYTO
GCF_021278925.1,Lactobacillus crispatus,lc83,Complete Genome,2043,1,1,313,127.6,1,1,0,0,1,C_CYTO
GCF_050705815.1,Lactobacillus crispatus,VHProbi E04,Complete Genome,1952,1,1,313,126.4,1,1,0,0,1,C_CYTO
GCF_026740115.1,Lactobacillus crispatus,M247,Complete Genome,2020,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_051201735.1,Lactobacillus crispatus,NVM146S01,Complete Genome,2124,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_009933525.1,Lactobacillus crispatus,C25,Complete Genome,2124,1,1,313,123.3,1,1,0,0,1,C_CYTO
GCF_013456995.1,Lactobacillus crispatus,B4,Complete Genome,1876,1,1,313,122.5,1,1,0,0,1,C_CYTO
GCF_021278945.1,Lactobacillus crispatus,lc31,Complete Genome,2082,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_018885325.1,Lactobacillus crispatus,PMC201,Complete Genome,2138,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_056645035.1,Lactobacillus crispatus,LW,Complete Genome,1926,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_000091765.1,Lactobacillus crispatus ST1,ST1,Chromosome,1875,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_053592775.1,Lactobacillus crispatus,SCHT001,Complete Genome,2029,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_047782765.1,Lactobacillus crispatus,T31e,Complete Genome,2004,1,1,313,123.3,1,1,0,0,1,C_CYTO
GCF_045271605.1,Lactobacillus crispatus,MRD6003,Chromosome,1867,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_040428525.1,Lactobacillus crispatus,0421_295_1_1_MRS1,Contig,2302,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_058114825.1,Lactobacillus crispatus,CU1,Complete Genome,1890,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_054331735.1,Lactobacillus crispatus,Ch49b,Complete Genome,1853,1,1,313,123.0,1,1,0,0,1,C_CYTO
GCF_001434005.1,Lactobacillus crispatus DSM 20584 = JCM 1185 = ATCC 33820,DSM 20584,Scaffold,1896,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_978019505.1,Lactobacillus crispatus,RL30,Contig,2224,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_054331675.1,Lactobacillus crispatus,Ch40c,Complete Genome,1869,1,1,313,129.6,1,1,0,0,1,C_CYTO
GCF_000466885.3,Lactobacillus crispatus 2029,2029,Complete Genome,2261,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_964656035.1,Lactobacillus crispatus,-,Contig,2158,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_978019515.1,Lactobacillus crispatus,RL28,Contig,2080,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_002088015.1,Lactobacillus crispatus,ATCC 33820,Scaffold,1893,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_008694755.1,Lactobacillus crispatus,NCK2488,Contig,1924,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_978019475.1,Lactobacillus crispatus,RL09,Contig,2143,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_040428755.1,Lactobacillus crispatus,197_Q4_a,Contig,2007,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_040428515.1,Lactobacillus crispatus,0795_578_1_1_MRS1,Contig,2260,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_964656025.1,Lactobacillus crispatus,-,Contig,2166,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_040428725.1,Lactobacillus crispatus,197_Q2_b2,Contig,2062,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_040428645.1,Lactobacillus crispatus,415_F3_2,Contig,2177,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_978019535.1,Lactobacillus crispatus,RL30 substr. S27,Contig,2222,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_978019525.1,Lactobacillus crispatus,RL30 substr. S11,Contig,2219,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_040428575.1,Lactobacillus crispatus,0422_293_1_1_MRS10,Contig,2171,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_016162005.1,Lactobacillus crispatus,LB67,Contig,1852,1,1,313,123.3,1,1,0,0,1,C_CYTO
GCF_964656045.1,Lactobacillus crispatus,-,Contig,2040,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_040428475.1,Lactobacillus crispatus,JV-V01,Contig,2039,1,1,313,127.7,1,1,0,0,1,C_CYTO
GCF_009857395.1,Lactobacillus crispatus,Indica2,Contig,2058,1,1,313,123.8,1,1,0,0,1,C_CYTO
GCF_965135635.1,Lactobacillus crispatus,CIP103602,Scaffold,2089,1,1,313,125.6,1,1,0,0,1,C_CYTO
GCF_008694205.1,Lactobacillus crispatus,NCK971,Contig,2022,1,1,313,124.4,1,1,0,0,1,C_CYTO
GCF_001567095.1,Lactobacillus crispatus,JCM 5810,Contig,1899,1,1,313,126.5,1,1,0,0,1,C_CYTO
GCF_007713895.1,Lactobacillus crispatus,NCK1350,Contig,1938,1,1,313,125.2,1,1,0,0,1,C_CYTO
GCF_033803945.1,Lactobacillus crispatus,UMB6035,Contig,1930,1,1,313,125.2,1,1,0,0,1,C_CYTO
GCF_038001365.1,Lactobacillus crispatus,LMG 11415,Contig,1913,1,1,313,129.5,1,1,0,0,1,C_CYTO
