Strain,Species group,Isolation source,Genome accession,Backbone type,Chain length (n),Chain length range,D-alanine (%),"D-alanine, qualitative",Glycosyl substituent,Glycosyl (%),Anchor sugars (n),Anchor composition,Third acyl chain,Acyl chains (n),Fatty acid composition,Extraction method,Culture condition,Evidence grade,Reference,Notes
Levilactobacillus brevis ATCC 8287,LAB_ref,NR,"no assembly (BioSample only, none linked)",type I (poly-GroP),NR,NR,NR,NR,"Glc, AlaGlc",NR,Unknown,Unknown,NR,NR,NR,BuOH,NR,A,Sanchez Carballo 2010,Unusual: D-alanine is attached to C-6 of Glc
Lacticaseibacillus casei BL23,LAB_ref,NR,GCF_000026485.1 (as L. paracasei),type I (poly-GroP),42,NA,64,partial,NR,NR,Unknown,Unknown,NR,NR,NR,BuOH,NR,A,Palomino 2013 Microbiology 159:2416,Under NaCl osmotic stress both repeat-unit number and D-alanine fall together
L. delbrueckii subsp. lactis ATCC 15808,LAB_ref,NR,no assembly,type I (poly-GroP),NR,29-37,21-27,partial,Glc,3%,3,Glc-Glc-Glc-DAG + AcylGlc-type,Y,3,NR,phenol/water,NR,A,Raisanen 2007 J Bacteriol 189:4135,Phage binding depends on D-alanyl and alpha-Glc substitution
L. delbrueckii subsp. lactis Ads-5,LAB_ref,NR,no assembly,type I (poly-GroP),NR,31-36,42-49,partial,none,0,3,Glc-Glc-Glc-DAG + AcylGlc-type,Y,3,NR,phenol/water,NR,A,Raisanen 2007,"Three subspecies strains: identical anchor, D-alanine 21-49%"
L. delbrueckii subsp. lactis LL78,LAB_ref,NR,no assembly,type I (poly-GroP),NR,30-34,25-28,partial,Glc,26-27%,3,Glc-Glc-Glc-DAG + AcylGlc-type,Y,3,NR,phenol/water,NR,A,Raisanen 2007,Anchor fully conserved; only the substituents vary
Lactobacillus helveticus JCM 1120T,LAB_ref,NR,GCF_015698225.1,type I (poly-GroP),24,NA,57-64,partial,none,0,3,Glc-Gal-Glc-DAG + AcylGlc-type,Y,3,NR,phenol/water,NR,A,Fischer 1980; Shiraishi 2025 (genome),Hex3 yet the same operon as gasseri (Hex4). Key contrast strain; genome BLYW01000000
Lactiplantibacillus pentosus DSM 20314T,LAB_ref,NR,GCF_003641185.1,type I (poly-GroP),22,NA,0,absent,none,0,3,Glc-Gal-Glc-DAG + AcylGlc-type,Y,3,NR,phenol/water,NR,A,Fischer 1980,No substituents
Limosilactobacillus reuteri 100-23,LAB_ref,NR,GCF_000168255.1,type I (poly-GroP),20,NA,74-79,partial,Glc,6%,Unknown,Unknown,NR,NR,NR,BuOH,NR,A,Walter 2007 Environ Microbiol 9:1750,Loss of D-alanine impairs gut colonisation in mice
Latilactobacillus sakei KCCM 11175P (K101),LAB_ref,NR,no assembly,type I (poly-GroP),NR,NR,NR,NR,NR,NR,2,Hex2DAG + AcylHex2DAG,Y,3,NR,BuOH,NR,A,Jeong 2015 Immunobiology 220:460,"Disaccharide anchor, but unlike curvatus it carries a triacyl form"
Staphylococcus aureus DSM 20233 (H),outgroup,NA,GCF_006094915.1 (=ATCC 12600),type I (poly-GroP),NR,4-48,30-81,high,GlcNAc,4-21%,2,Glc-Glc-DAG,N,2,NR,phenol/water and BuOH,NR,A,Morath 2001 JEM 193:393,Reference strain for comparing extraction methods
Listeria monocytogenes NCTC 7973,outgroup,NA,GCA_900637785.1,type I (poly-GroP),23,NA,31-42,partial,Gal,21-23%,2,Gal-Glc-DAG,N,2,NR,phenol/water,NR,A,Fischer 1990,Corresponds to the lafA/lafB pathway
Streptococcus pneumoniae R6,outgroup,NA,GCF_008253725.1,type IV (non-GroP),NR,2-8,NA,NA,GalNAc(PC),40%,1,Glc-DAG,N,1 and 2,NR,CHCl3/MeOH or BuOH,NR,A,Seo 2008 J Bacteriol 190:2379; Kim 2005 Infect Immun 73:834,"Host-species specificity of acyl number: human cells respond to mono- and diacyl, mouse cells only to diacyl"
,,,,,,,,,,,,,,,,,,,,
Note,"Genome accessions were resolved on 2026-09-07 against NCBI Datasets, ENA and BioSample. Of the 31 strains whose lipoteichoic acid structure has been measured, 23 have a deposited assembly and 8 do not. Three were found only under a different name: JCM 1149T as ATCC 14917, JCM 15950T as DSM 16041, and BL23 under Lacticaseibacillus paracasei after reclassification.",,,,,,,,,,,,,,,,,,,
Note,"The three Lactobacillus delbrueckii strains that lack an assembly (ATCC 15808, Ads-5, LL78) are the whole of one study, which showed that phage binding depends on D-alanyl and alpha-glucose substitution. Structure and function are both on record for them; only the genome is missing.",,,,,,,,,,,,,,,,,,,
