protein_id,species,length,hmm_score,n_genomes,is_cluster_rep,TM,SP,topology,class
WP_029607359.1,Lacticaseibacillus rhamnosus,386,201.5,1,0,0,Y,n10-21c27/28o,B_SP
WP_031275263.1,Lactiplantibacillus plantarum,397,833.4,72,0,1,0,i12-32o,A_TM
WP_032964869.1,Lacticaseibacillus rhamnosus,386,200.3,6,0,0,Y,n10-21c27/28o,B_SP
WP_033571516.1,Lacticaseibacillus rhamnosus,386,199.9,7,0,0,Y,n10-21c27/28o,B_SP
WP_033572870.1,Lacticaseibacillus rhamnosus,386,200.0,6,0,0,Y,n10-21c27/28o,B_SP
WP_033594596.1,Enterococcus faecalis,388,175.7,1,0,1,0,i12-32o,A_TM
WP_033607970.1,Lactiplantibacillus plantarum,397,829.2,16,0,1,0,i12-32o,A_TM
WP_033611133.1,Lactiplantibacillus paraplantarum,397,811.2,9,1,1,0,i12-32o,A_TM
WP_033617671.1,Lactiplantibacillus plantarum,397,830.0,1,0,1,0,i12-32o,A_TM
WP_033785864.1,Enterococcus faecalis,388,176.2,6,0,1,0,i12-32o,A_TM
WP_034525329.1,Lactobacillus johnsonii,308,122.4,15,1,0,0,o,C_CYTO
WP_035442868.1,Lactobacillus crispatus,313,125.6,7,0,0,0,o,C_CYTO
WP_036089961.1,Leuconostoc mesenteroides,380,135.4,2,0,1,0,i12-29o,A_TM
WP_038398962.1,Enterococcus faecium,386,131.0,5,1,1,0,i12-33o,A_TM
WP_039105334.1,Levilactobacillus brevis,392,272.6,25,1,0,Y,n5-16c23/24o,B_SP
WP_039140991.1,Lacticaseibacillus rhamnosus,386,199.9,10,1,0,Y,n7-22c27/28o,B_SP
WP_040176616.1,Leuconostoc citreum,378,152.3,32,1,1,0,i12-35o,A_TM
WP_041500812.1,Companilactobacillus heilongjiangensis,358,217.2,2,1,0,Y,n4-16c25/26o,B_SP
WP_041810430.1,Lactobacillus amylovorus,313,127.1,3,0,0,0,o,C_CYTO
WP_041815412.1,Levilactobacillus brevis,392,271.4,77,1,0,Y,n5-16c23/24o,B_SP
WP_041818539.1,Lactobacillus johnsonii,308,128.4,5,0,0,0,o,C_CYTO
WP_041822341.1,Lactobacillus johnsonii,308,126.4,2,0,0,0,o,C_CYTO
WP_042250862.1,Leuconostoc mesenteroides,380,134.3,13,1,1,0,i12-29o,A_TM
WP_042521177.1,Levilactobacillus brevis,392,270.6,22,0,0,Y,n5-16c23/24o,B_SP
WP_043022202.1,Levilactobacillus brevis,389,273.0,1,1,0,Y,n5-16c23/24o,B_SP
WP_043902865.1,Enterococcus faecium,386,132.5,4,1,1,0,i12-33o,A_TM
WP_043921351.1,Lactobacillus johnsonii,308,126.9,6,0,0,0,o,C_CYTO
WP_044025975.1,Lactobacillus johnsonii,308,127.0,5,0,0,0,o,C_CYTO
WP_044384266.1,Enterococcus faecium,386,132.7,41,1,1,0,i12-33o,A_TM
WP_044496719.1,Lactobacillus johnsonii,308,130.5,3,0,0,0,o,C_CYTO
WP_045624568.1,Lacticaseibacillus paracasei,397,164.5,1,1,1,0,i12-31o,A_TM
WP_046039513.1,Lactiplantibacillus plantarum,397,865.1,29,1,1,0,i12-32o,A_TM
WP_046783074.1,Lacticaseibacillus rhamnosus,401,202.3,3,1,0,Y,n13-26c30/31o,B_SP
WP_047107605.1,Lacticaseibacillus casei,387,189.5,2,0,0,Y,n6-19c23/24o,B_SP
WP_047677234.1,Lacticaseibacillus rhamnosus,386,199.7,43,0,0,Y,n10-21c27/28o,B_SP
WP_047927674.1,Enterococcus faecium,386,131.2,1,0,1,0,i12-33o,A_TM
WP_048685503.1,Lactobacillus paragasseri,308,133.5,9,0,0,0,o,C_CYTO
WP_049150171.1,Lactobacillus gasseri,308,131.8,8,0,0,0,o,C_CYTO
WP_049170072.1,Lacticaseibacillus casei,387,190.0,8,1,0,Y,n6-19c23/24o,B_SP
WP_050584249.1,Lactiplantibacillus paraplantarum,397,810.7,18,1,1,0,i12-32o,A_TM
WP_050891310.1,Leuconostoc mesenteroides,380,135.6,4,1,1,0,i12-29o,A_TM
WP_050895351.1,Leuconostoc mesenteroides,380,134.0,1,0,1,0,i12-29o,A_TM
WP_052543272.1,Lactobacillus amylovorus,313,128.6,1,0,0,0,o,C_CYTO
WP_053074286.1,Lacticaseibacillus rhamnosus,386,201.8,2,1,0,Y,n10-21c27/28o,B_SP
WP_053075634.1,Lacticaseibacillus rhamnosus,386,199.9,8,0,0,Y,n7-22c27/28o,B_SP
WP_053107104.1,Lactobacillus johnsonii,308,126.0,5,0,0,0,o,C_CYTO
WP_053543646.1,Enterococcus faecium,386,133.4,5,0,1,0,i12-35o,A_TM
WP_055126430.1,Pediococcus pentosaceus,367,148.5,14,0,0,Y,n7-19c27/28o,B_SP
WP_056939542.1,Lactobacillus amylovorus,313,134.3,3,0,0,0,o,C_CYTO
WP_056951966.1,Companilactobacillus bobalius,358,196.2,2,0,0,Y,n5-16c23/24o,B_SP
WP_056967672.1,Companilactobacillus kimchii,358,193.7,3,1,0,Y,n5-16c23/24o,B_SP
WP_056979306.1,Pediococcus pentosaceus,369,147.8,7,0,1,0,i5-23o,A_TM
WP_056985466.1,Lactobacillus amylovorus,313,132.5,1,0,0,0,o,C_CYTO
WP_057730701.1,Lactobacillus helveticus,314,126.1,5,0,0,0,o,C_CYTO
WP_057739242.1,Companilactobacillus alimentarius,358,207.8,6,1,0,Y,n5-16c24/25o,B_SP
WP_057868226.1,Companilactobacillus crustorum,358,201.2,6,1,0,Y,n4-16c25/26o,B_SP
WP_057881649.1,Companilactobacillus kimchiensis,374,203.2,1,1,0,Y,n4-16c25/26o,B_SP
WP_057893033.1,Companilactobacillus nantensis,360,203.4,2,1,0,Y,n4-16c25/26o,B_SP
WP_058121110.1,Pediococcus acidilactici,379,174.4,5,1,0,Y,n9-20c28/29o,B_SP
WP_059442494.1,Leuconostoc mesenteroides,380,134.9,39,0,1,0,i12-29o,A_TM
WP_060461289.1,Leuconostoc mesenteroides,380,134.0,1,0,1,0,i12-29o,A_TM
WP_060462698.1,Lactobacillus crispatus,313,130.4,11,0,0,0,o,C_CYTO
WP_060612550.1,Lacticaseibacillus paracasei,385,191.1,1,0,1,0,i7-28o,A_TM
WP_061205055.1,Lactobacillus crispatus,313,126.5,1,0,0,0,o,C_CYTO
WP_061400830.1,Lactobacillus johnsonii,308,126.7,1,0,0,0,o,C_CYTO
WP_061468295.1,Lactiplantibacillus plantarum,397,836.1,15,0,1,0,i12-32o,A_TM
WP_063557583.1,Lacticaseibacillus paracasei,385,191.0,4,1,1,0,i7-28o,A_TM
WP_063720973.1,Lactiplantibacillus plantarum,397,829.7,4,0,1,0,i12-32o,A_TM
WP_063851690.1,Lactiplantibacillus plantarum,397,830.8,2,0,1,0,i12-32o,A_TM
WP_064517406.1,Lacticaseibacillus rhamnosus,401,204.2,1,0,1,0,i12-32o,A_TM
WP_064520418.1,Lacticaseibacillus rhamnosus,386,162.4,1,1,1,0,i12-31o,A_TM
WP_064578185.1,Lactiplantibacillus plantarum,397,828.3,3,0,1,0,i12-32o,A_TM
WP_064578300.1,Lactiplantibacillus plantarum,384,122.4,1,1,0,Y,n8-19c25/26o,B_SP
WP_064656442.1,Lacticaseibacillus rhamnosus,386,201.7,24,1,0,Y,n7-22c27/28o,B_SP
WP_065124272.1,Pediococcus acidilactici,382,174.0,78,1,0,Y,n9-20c24/25o,B_SP
WP_065201527.1,Levilactobacillus brevis,392,271.5,2,1,0,Y,n5-16c23/24o,B_SP
WP_065674734.1,Lactiplantibacillus pentosus,397,737.3,5,0,1,0,i12-32o,A_TM
WP_065825120.1,Latilactobacillus curvatus,392,201.1,3,1,0,Y,n8-19c31/32o,B_SP
WP_065990205.1,Lactobacillus crispatus,313,123.3,8,1,0,0,o,C_CYTO
WP_070366385.1,Pediococcus acidilactici,382,172.9,16,1,0,Y,n9-20c24/25o,B_SP
WP_070550773.1,Lacticaseibacillus rhamnosus,401,202.2,3,1,1,0,i12-32o,A_TM
WP_071252834.1,Lacticaseibacillus paracasei,385,191.6,1,1,1,0,i7-28o,A_TM
WP_072535266.1,Lactiplantibacillus plantarum,391,707.9,1,1,0,Y,n6-17c21/22o,B_SP
WP_075140209.1,Pediococcus acidilactici,382,173.0,1,0,0,Y,n9-20c24/25o,B_SP
WP_075887815.1,Companilactobacillus crustorum,358,201.0,1,1,0,Y,n4-16c25/26o,B_SP
WP_076787451.1,Latilactobacillus curvatus,389,198.1,1,1,0,Y,n8-19c31/32o,B_SP
WP_077167281.1,Lacticaseibacillus rhamnosus,386,199.9,2,0,0,Y,n10-21c27/28o,B_SP
WP_077959230.1,Lactobacillus paragasseri,308,131.4,36,0,0,0,o,C_CYTO
WP_080371162.1,Lactiplantibacillus plantarum,391,718.3,12,1,0,Y,n6-17c21/22o,B_SP
WP_080752784.1,Latilactobacillus curvatus,382,196.9,4,1,0,0,o,C_CYTO
WP_081038334.1,Latilactobacillus curvatus,382,196.7,6,0,0,0,o,C_CYTO
WP_081155036.1,Lacticaseibacillus rhamnosus,386,200.2,2,0,0,Y,n10-21c27/28o,B_SP
WP_081261842.1,Lacticaseibacillus rhamnosus,386,200.4,1,0,0,Y,n10-21c27/28o,B_SP
WP_081272962.1,Latilactobacillus curvatus,382,200.7,1,0,0,0,o,C_CYTO
WP_081303807.1,Latilactobacillus curvatus,382,199.6,18,1,0,0,o,C_CYTO
WP_081326631.1,Latilactobacillus curvatus,382,198.1,3,0,0,0,o,C_CYTO
WP_081336362.1,Lacticaseibacillus rhamnosus,386,197.3,2,0,0,Y,n10-21c27/28o,B_SP
WP_081394672.1,Latilactobacillus curvatus,382,198.5,5,0,0,0,o,C_CYTO
WP_082230226.1,Lactiplantibacillus pentosus,391,729.2,15,1,0,Y,n6-17c21/22o,B_SP
WP_083477772.1,Companilactobacillus mindensis,358,206.6,2,1,0,Y,n4-16c25/26o,B_SP
WP_084033010.1,Leuconostoc mesenteroides,380,136.3,16,1,1,0,i12-29o,A_TM
WP_085699732.1,Leuconostoc citreum,378,152.9,1,0,1,0,i12-35o,A_TM
WP_085762992.1,Levilactobacillus brevis,392,271.8,21,1,0,Y,n5-16c23/24o,B_SP
WP_086291311.1,Enterococcus faecium,386,134.4,2,0,1,0,i12-35o,A_TM
WP_086875219.1,Lactobacillus johnsonii,308,129.4,14,1,0,0,o,C_CYTO
WP_087712581.1,Lactobacillus johnsonii,308,123.9,4,0,0,0,o,C_CYTO
WP_087716802.1,Levilactobacillus brevis,392,270.6,1,1,0,Y,n5-16c23/24o,B_SP
WP_087912363.1,Lacticaseibacillus casei,387,188.7,4,0,0,Y,n6-19c23/24o,B_SP
WP_088771171.1,Lactiplantibacillus pentosus,391,729.7,12,0,0,Y,n6-17c21/22o,B_SP
WP_089143211.1,Lactobacillus crispatus,313,131.9,19,0,0,0,o,C_CYTO
WP_089146675.1,Lactobacillus crispatus,313,130.9,2,0,0,0,o,C_CYTO
WP_089150030.1,Lactobacillus crispatus,313,126.4,2,0,0,0,o,C_CYTO
WP_089151163.1,Lactobacillus crispatus,313,127.3,1,0,0,0,o,C_CYTO
WP_089557335.1,Latilactobacillus curvatus,382,199.1,1,0,0,0,o,C_CYTO
WP_094498005.1,Lactobacillus johnsonii,308,124.6,6,1,0,0,o,C_CYTO
WP_095076811.1,Lactobacillus johnsonii,308,128.7,1,0,0,0,o,C_CYTO
WP_095182603.1,Lactobacillus johnsonii,308,127.6,4,0,0,0,o,C_CYTO
WP_095670265.1,Lactobacillus gasseri,308,129.3,10,0,0,0,o,C_CYTO
WP_096585743.1,Latilactobacillus sakei,383,174.9,3,0,0,Y,n8-19c37/38o,B_SP
WP_096638954.1,Leuconostoc mesenteroides,380,132.7,1,0,1,0,i12-29o,A_TM
WP_096772768.1,Lacticaseibacillus paracasei,401,198.5,4,1,1,0,i12-34o,A_TM
WP_097546707.1,Levilactobacillus brevis,392,271.0,4,0,0,Y,n5-16c23/24o,B_SP
WP_097547375.1,Levilactobacillus brevis,392,272.9,38,1,0,Y,n5-16c23/24o,B_SP
WP_099299534.1,Pediococcus pentosaceus,367,152.2,9,0,0,Y,n7-19c27/28o,B_SP
WP_099712964.1,Latilactobacillus sakei,383,175.0,12,0,0,Y,n8-19c37/38o,B_SP
WP_100665282.1,Leuconostoc citreum,378,153.9,1,0,1,0,i12-35o,A_TM
WP_100733042.1,Lactobacillus crispatus,313,119.3,1,1,0,0,o,C_CYTO
WP_101887390.1,Lactobacillus crispatus,313,127.9,3,0,0,0,o,C_CYTO
WP_101891194.1,Lactobacillus crispatus,313,122.7,2,1,0,0,o,C_CYTO
WP_102197248.1,Companilactobacillus nuruki,359,197.7,1,1,0,Y,n4-14c25/26o,B_SP
WP_103213998.1,Lacticaseibacillus paracasei,401,198.3,1,1,1,0,i12-34o,A_TM
WP_104842168.1,Enterococcus faecalis,388,180.2,1,0,1,0,i12-32o,A_TM
WP_104855375.1,Enterococcus faecalis,388,170.8,1,1,1,0,i12-32o,A_TM
WP_105461267.1,Enterococcus faecalis,388,180.1,1,0,1,0,i12-32o,A_TM
WP_105924283.1,Lactiplantibacillus pentosus,391,728.3,1,0,0,Y,n6-17c21/22o,B_SP
WP_110139760.1,Levilactobacillus brevis,392,268.7,3,0,0,Y,n5-16c23/24o,B_SP
WP_110534955.1,Lactobacillus helveticus,314,127.5,3,0,0,0,o,C_CYTO
WP_111447940.1,Latilactobacillus curvatus,382,197.1,1,0,0,0,o,C_CYTO
WP_112019287.1,Enterococcus faecium,383,135.4,1,0,1,0,i12-35o,A_TM
WP_114668798.1,Leuconostoc mesenteroides,380,134.3,2,0,1,0,i12-29o,A_TM
WP_115155033.1,Pediococcus pentosaceus,367,145.6,30,1,1,0,i7-24o,A_TM
WP_115256035.1,Enterococcus faecium,386,129.9,1,0,1,0,i12-33o,A_TM
WP_116495122.1,Enterococcus faecalis,388,176.5,2,0,1,0,i12-32o,A_TM
WP_117311227.1,Pediococcus pentosaceus,367,145.6,1,1,1,0,i7-24o,A_TM
WP_118027512.1,Lactobacillus amylovorus,313,128.5,2,0,0,0,o,C_CYTO
WP_118988882.1,Lacticaseibacillus paracasei,385,191.7,1,0,1,0,i7-28o,A_TM
WP_119179116.1,Pediococcus acidilactici,382,168.3,23,0,0,Y,n9-20c24/25o,B_SP
WP_119318369.1,Companilactobacillus formosensis,358,204.5,2,1,0,Y,n5-16c25/26o,B_SP
WP_119326393.1,Companilactobacillus musae,361,200.5,3,1,0,Y,n5-16c26/27o,B_SP
WP_119365081.1,Enterococcus faecium,386,133.1,1,0,1,0,i12-33o,A_TM
WP_120142183.1,Companilactobacillus zhachilii,358,220.0,1,1,0,Y,n4-16c25/26o,B_SP
WP_123020642.1,Lacticaseibacillus paracasei,397,163.1,2,0,1,0,i12-31o,A_TM
WP_123022003.1,Lacticaseibacillus paracasei,401,199.0,3,1,1,0,i12-32o,A_TM
WP_123022892.1,Lacticaseibacillus paracasei,401,196.8,6,0,1,0,i12-34o,A_TM
WP_123030027.1,Lacticaseibacillus paracasei,385,192.6,2,0,1,0,i7-28o,A_TM
WP_123030913.1,Lacticaseibacillus paracasei,385,191.4,1,0,1,0,i7-28o,A_TM
WP_123031427.1,Lacticaseibacillus paracasei,385,192.9,3,0,1,0,i7-28o,A_TM
WP_123156541.1,Lacticaseibacillus paracasei,401,197.3,3,0,1,0,i12-34o,A_TM
WP_123830998.1,Levilactobacillus brevis,392,272.9,1,1,0,Y,n5-16c23/24o,B_SP
WP_125278160.1,Enterococcus faecium,386,130.3,2,0,1,0,i12-35o,A_TM
WP_125567253.1,Companilactobacillus insicii,372,204.8,1,1,0,Y,n7-18c29/30o,B_SP
WP_125589380.1,Companilactobacillus jidongensis,372,197.7,1,1,0,Y,n7-18c29/30o,B_SP
WP_125592430.1,Companilactobacillus baiquanensis,359,212.7,2,1,0,Y,n4-15c24/25o,B_SP
WP_125708108.1,Companilactobacillus zhongbaensis,367,232.4,1,1,0,Y,n8-21c29/30o,B_SP
WP_125712546.1,Companilactobacillus kedongensis,359,220.4,1,1,0,Y,n5-16c24/25o,B_SP
WP_125763531.1,Companilactobacillus hulinensis,372,197.8,1,1,0,Y,n7-19c23/24o,B_SP
WP_125770788.1,Companilactobacillus furfuricola,367,234.7,1,1,0,Y,n8-19c29/30o,B_SP
WP_125978948.1,Lactobacillus acidophilus,313,128.8,1,0,0,0,o,C_CYTO
WP_126305437.1,Enterococcus faecium,386,136.9,1,0,1,0,i12-35o,A_TM
WP_127837370.1,Enterococcus faecium,386,133.5,1,0,1,0,i12-35o,A_TM
WP_128437955.1,Enterococcus faecalis,388,180.0,1,0,1,0,i12-32o,A_TM
